iter	RMSE
0	1.608397955
1	1.606943183
2	1.605490033
3	1.60403835
4	1.602588719
5	1.601140196
6	1.599693365
7	1.598248072
8	1.596804162
9	1.595361904
10	1.593923417
11	1.592484213
12	1.591048687
13	1.589652052
14	1.588219432
15	1.586788704
16	1.585359131
17	1.583969239
18	1.582542871
19	1.58111383
20	1.579693954
21	1.578271999
22	1.576851755
23	1.575429375
24	1.574049455
25	1.572640564
26	1.571260395
27	1.56984331
28	1.568437197
29	1.567022991
30	1.565608908
31	1.564198287
32	1.562833744
33	1.561433301
34	1.560026576
35	1.558619394
36	1.557218137
37	1.555853214
38	1.554450603
39	1.55308189
40	1.551691548
41	1.550306156
42	1.548909241
43	1.547514224
44	1.546134575
45	1.544771861
46	1.543419356
47	1.542031343
48	1.54067222
49	1.539285288
50	1.53793859
51	1.536585447
52	1.535213982
53	1.533832665
54	1.532488435
55	1.531123374
56	1.529746296
57	1.528368971
58	1.527008727
59	1.52563589
60	1.524262757
61	1.522905929
62	1.521537367
63	1.520168682
64	1.518816576
65	1.517450047
66	1.516120755
67	1.514757302
68	1.513395182
69	1.512075145
70	1.510749491
71	1.509432668
72	1.508091558
73	1.506765588
74	1.505410962
75	1.504058309
76	1.502741455
77	1.501389148
78	1.500040567
79	1.498693302
80	1.497386364
81	1.496039808
82	1.494733144
83	1.493407052
84	1.492080007
85	1.490750593
86	1.489422483
87	1.488086164
88	1.486748928
89	1.485413155
90	1.484094409
91	1.482763747
92	1.481469893
93	1.480171435
94	1.47884431
95	1.47751662
96	1.476190363
97	1.474907372
98	1.473586087
99	1.472296189
100	1.470975194
101	1.469667751
102	1.468349615
103	1.467046323
104	1.465728015
105	1.464452259
106	1.463147051
107	1.461846962
108	1.460536252
109	1.459235107
110	1.457934247
111	1.456627364
112	1.455356139
113	1.454066415
114	1.45277514
115	1.45147389
116	1.450183444
117	1.448887894
118	1.447598461
119	1.446312192
120	1.445014337
121	1.44372705
122	1.442433939
123	1.441140077
124	1.43985038
125	1.438587823
126	1.437295777
127	1.436009434
128	1.434732513
129	1.433451338
130	1.432205384
131	1.430922182
132	1.429674024
133	1.428406662
134	1.427137288
135	1.425858805
136	1.424618517
137	1.423347482
138	1.422073178
139	1.420797849
140	1.419526303
141	1.418288677
142	1.417022016
143	1.415751663
144	1.414500188
145	1.413259115
146	1.411995165
147	1.410730082
148	1.409468767
149	1.408232357
150	1.406971379
151	1.405737749
152	1.404481432
153	1.40323342
154	1.401983876
155	1.400766671
156	1.39951348
157	1.398276947
158	1.397025141
159	1.395812126
160	1.394588326
161	1.393366959
162	1.392122484
163	1.390885379
164	1.389680832
165	1.388464254
166	1.387222124
167	1.385984233
168	1.384745417
169	1.383536134
170	1.382299148
171	1.38109346
172	1.379863752
173	1.378630624
174	1.377398411
175	1.376197432
176	1.37496782
177	1.373748764
178	1.372521686
179	1.371296645
180	1.370100036
181	1.368881879
182	1.367663499
183	1.366442368
184	1.365222613
185	1.36403637
186	1.362816874
187	1.361633487
188	1.360416607
189	1.359211722
190	1.358005519
191	1.356794828
192	1.355592443
193	1.354381523
194	1.353178427
195	1.352005429
196	1.350827045
197	1.34962103
198	1.348418311
199	1.347221588
