iter	Passed	Remaining
0	13	2688
1	26	2577
2	42	2817
3	58	2877
4	74	2889
5	86	2801
6	100	2762
7	112	2704
8	125	2656
9	140	2672
10	156	2697
11	171	2693
12	187	2700
13	202	2695
14	218	2692
15	232	2678
16	247	2667
17	265	2684
18	285	2719
19	302	2723
20	318	2712
21	333	2696
22	348	2678
23	363	2668
24	377	2641
25	392	2627
26	407	2612
27	422	2598
28	438	2583
29	454	2576
30	468	2555
31	483	2539
32	499	2527
33	514	2513
34	528	2491
35	544	2479
36	558	2458
37	573	2443
38	588	2428
39	603	2413
40	618	2397
41	633	2383
42	648	2368
43	664	2354
44	678	2337
45	694	2323
46	709	2309
47	724	2295
48	739	2279
49	755	2266
50	769	2247
51	785	2234
52	799	2216
53	813	2200
54	829	2186
55	843	2170
56	859	2156
57	875	2143
58	892	2132
59	907	2117
60	922	2102
61	937	2087
62	953	2074
63	970	2061
64	985	2047
65	1003	2036
66	1020	2025
67	1040	2019
68	1057	2007
69	1075	1996
70	1093	1985
71	1109	1973
72	1127	1962
73	1145	1951
74	1162	1936
75	1177	1921
76	1193	1906
77	1207	1889
78	1223	1873
79	1238	1858
80	1255	1844
81	1271	1830
82	1287	1814
83	1303	1799
84	1318	1783
85	1333	1767
86	1349	1753
87	1364	1736
88	1381	1723
89	1395	1705
90	1410	1689
91	1426	1674
92	1443	1660
93	1458	1644
94	1473	1629
95	1490	1614
96	1505	1598
97	1519	1581
98	1534	1565
99	1549	1549
100	1564	1533
101	1580	1518
102	1596	1503
103	1612	1488
104	1627	1472
105	1642	1456
106	1657	1440
107	1672	1424
108	1687	1409
109	1702	1393
110	1719	1378
111	1732	1361
112	1747	1345
113	1762	1329
114	1778	1314
115	1793	1298
116	1850	1312
117	1864	1295
118	1880	1279
119	1897	1265
120	1912	1248
121	1926	1231
122	1941	1215
123	1955	1198
124	1968	1181
125	1981	1163
126	1998	1148
127	2013	1132
128	2028	1116
129	2041	1099
130	2054	1082
131	2067	1065
132	2081	1048
133	2094	1031
134	2108	1015
135	2121	998
136	2134	981
137	2147	964
138	2160	948
139	2173	931
140	2187	915
141	2200	898
142	2231	889
143	2244	872
144	2257	856
145	2270	839
146	2284	823
147	2296	807
148	2310	790
149	2323	774
150	2363	767
151	2376	750
152	2389	734
153	2402	717
154	2414	701
155	2429	685
156	2442	668
157	2454	652
158	2467	636
159	2480	620
160	2494	604
161	2507	588
162	2521	572
163	2536	556
164	2549	540
165	2579	528
166	2593	512
167	2610	497
168	2627	482
169	2642	466
170	2655	450
171	2667	434
172	2681	418
173	2693	402
174	2706	386
175	2718	370
176	2733	355
177	2746	339
178	2759	323
179	2771	307
180	2785	292
181	2798	276
182	2810	261
183	2823	245
184	2837	230
185	2850	214
186	2863	199
187	2876	183
188	2889	168
189	2902	152
190	2914	137
191	2928	122
192	2940	106
193	2953	91
194	2967	76
195	2980	60
196	2993	45
197	3006	30
198	3019	15
199	3032	0
