,0
0,0
1,1
2,5
3,6
4,8
5,9
6,10
7,12
8,21
9,24
10,27
11,29
12,30
13,36
14,37
15,39
16,40
17,47
18,57
19,70
20,71
21,77
22,78
23,79
24,80
25,81
26,83
27,87
28,89
29,91
30,95
31,97
32,98
33,100
34,115
35,119
36,122
37,124
38,127
39,128
40,129
41,134
42,137
43,146
44,153
45,154
46,158
47,161
48,162
49,167
50,168
51,171
52,173
53,174
54,176
55,179
56,180
57,183
58,186
59,187
60,189
61,190
62,191
63,192
64,193
65,198
66,201
67,202
68,206
69,207
70,208
71,212
72,216
73,220
74,224
75,230
76,232
77,241
78,242
79,246
80,251
81,252
82,253
83,255
84,256
85,265
86,268
87,269
88,271
89,273
90,275
91,276
92,280
93,282
94,288
95,289
96,293
97,296
98,300
99,301
100,303
101,305
102,306
103,307
104,309
105,310
106,311
107,312
108,315
109,317
110,319
111,323
112,324
113,325
114,329
115,333
116,338
117,339
118,340
119,341
120,342
121,359
122,360
123,361
124,362
125,365
126,369
127,373
128,375
129,377
130,379
131,383
132,384
133,386
134,393
135,398
136,400
137,402
138,403
139,404
140,406
141,411
142,412
143,414
144,417
145,418
146,422
147,423
148,424
149,429
150,431
151,432
152,434
153,439
154,441
155,447
156,451
157,454
158,455
159,456
160,459
161,462
162,465
163,467
164,468
165,469
166,470
167,472
168,473
169,478
170,481
171,482
172,483
173,484
174,488
175,489
176,490
177,493
178,499
179,511
180,512
181,514
182,519
183,520
184,524
185,529
186,535
187,539
188,540
189,541
190,543
191,544
192,550
193,558
194,560
195,561
196,563
197,571
198,577
199,580
200,581
201,586
202,592
203,593
204,595
205,598
206,601
207,609
208,610
209,611
210,612
211,614
212,620
213,630
214,631
215,632
216,640
217,646
218,653
219,663
220,666
221,668
222,669
223,670
224,671
225,673
226,674
227,678
228,680
229,683
230,690
231,691
232,693
233,696
234,697
235,702
236,710
237,711
238,715
239,716
240,719
241,721
242,722
243,747
244,748
245,754
246,757
247,758
248,764
249,769
250,775
251,776
252,782
253,784
254,785
255,786
256,787
257,788
258,789
259,790
260,792
261,802
262,803
263,804
264,807
265,811
266,812
267,827
268,830
269,840
270,841
271,842
272,844
273,845
274,851
275,854
276,855
277,859
278,860
279,861
280,862
281,864
282,867
283,869
284,870
285,880
286,885
287,886
288,890
289,896
290,899
291,900
292,902
293,903
294,906
295,907
296,910
297,915
298,916
299,918
300,921
301,922
302,924
303,925
304,932
305,935
306,954
307,955
308,960
309,969
310,973
311,983
312,984
313,987
314,1003
315,1004
316,1006
317,1007
318,1010
319,1019
320,1024
321,1029
322,1030
323,1032
324,1033
325,1044
326,1048
327,1049
328,1057
329,1061
330,1066
331,1069
332,1081
333,1085
334,1086
335,1089
336,1090
337,1094
338,1098
339,1099
340,1101
341,1109
342,1117
343,1124
344,1133
345,1137
346,1138
347,1145
348,1146
349,1153
350,1156
351,1158
352,1160
353,1162
354,1163
355,1164
356,1166
357,1168
358,1169
359,1172
360,1174
361,1186
362,1188
363,1192
364,1196
365,1200
366,1202
367,1206
368,1207
369,1216
370,1217
371,1221
372,1227
373,1229
374,1232
375,1236
376,1240
377,1242
378,1243
379,1246
380,1248
381,1254
382,1262
383,1267
384,1271
385,1272
386,1274
387,1277
388,1287
389,1289
390,1291
391,1292
392,1296
393,1297
394,1298
395,1301
396,1302
397,1324
398,1325
399,1326
400,1338
401,1344
402,1350
403,1354
404,1355
405,1356
406,1359
407,1360
408,1361
409,1362
410,1366
411,1367
412,1370
413,1371
414,1375
415,1376
416,1377
417,1389
418,1394
419,1396
420,1397
421,1399
422,1401
423,1408
424,1412
425,1415
426,1416
427,1417
428,1419
429,1425
430,1430
431,1434
432,1435
433,1436
434,1444
435,1445
436,1448
437,1450
438,1451
439,1456
440,1458
441,1460
442,1462
443,1465
444,1475
445,1476
446,1478
447,1480
448,1490
449,1495
450,1497
451,1499
452,1514
453,1515
454,1518
455,1519
456,1525
457,1531
458,1533
459,1535
460,1548
461,1552
462,1561
463,1564
464,1591
465,1594
466,1596
467,1599
468,1621
469,1635
470,1636
471,1644
472,1650
473,1651
474,1656
475,1662
476,1663
477,1667
478,1673
479,1686
480,1688
481,1691
482,1693
483,1694
484,1695
485,1697
486,1700
487,1702
488,1709
489,1712
490,1713
491,1716
492,1730
493,1749
494,1759
495,1761
496,1771
497,1781
498,1789
499,1791
500,1796
501,1813
502,1833
503,1836
504,1845
505,1850
506,1851
507,1854
508,1869
509,1876
510,1882
511,1883
512,1885
513,1886
514,1887
515,1891
516,1901
517,1902
518,1911
519,1924
520,1925
521,1926
522,1929
523,1949
524,1950
525,1951
526,1956
527,1965
528,1967
529,1969
530,1974
531,1980
532,1987
533,1988
534,1991
535,1992
536,1999
537,2000
538,2007
539,2008
540,2012
541,2013
542,2015
543,2016
544,2017
545,2018
546,2019
547,2020
548,2021
549,2024
550,2025
551,2026
552,2027
553,2030
554,2033
555,2035
556,2037
557,2041
558,2064
559,2067
560,2068
561,2077
562,2082
563,2084
564,2094
565,2112
566,2119
567,2120
568,2122
569,2133
570,2137
571,2138
572,2143
573,2150
574,2157
575,2167
576,2177
577,2183
578,2185
579,2189
580,2191
581,2194
582,2200
583,2201
584,2202
585,2203
586,2208
587,2218
588,2220
589,2223
590,2236
591,2258
592,2267
593,2278
594,2286
595,2304
596,2322
597,2325
598,2337
599,2339
600,2346
601,2357
602,2358
603,2363
604,2365
605,2373
606,2374
607,2385
608,2412
609,2423
610,2428
611,2430
612,2432
613,2433
614,2440
615,2441
616,2454
617,2455
618,2459
619,2465
620,2466
621,2490
622,2491
623,2505
624,2507
625,2511
626,2520
627,2521
628,2522
629,2527
630,2529
631,2534
632,2538
633,2539
634,2541
635,2543
636,2548
637,2567
638,2574
639,2585
640,2587
641,2595
642,2597
643,2604
644,2617
645,2621
646,2622
647,2632
648,2641
649,2653
650,2655
651,2658
652,2661
653,2665
654,2668
655,2725
656,2741
657,2742
658,2757
659,2763
660,2765
661,2766
662,2769
663,2771
664,2775
665,2781
666,2791
667,2798
668,2799
669,2802
670,2823
671,2824
672,2836
673,2837
674,2838
675,2840
676,2841
677,2862
678,2866
679,2872
680,2875
681,2876
682,2884
683,2888
684,2889
685,2890
686,2891
687,2892
688,2894
689,2898
690,2902
691,2903
692,2909
693,2910
694,2913
695,2914
696,2917
697,2921
698,2923
699,2928
700,2950
701,2954
702,2957
703,2958
704,2959
705,2963
706,2969
707,2973
708,2981
709,2983
710,2984
711,2992
712,2996
713,2999
714,3013
715,3017
716,3020
717,3022
718,3025
719,3027
720,3035
721,3041
722,3043
723,3061
724,3068
725,3071
726,3072
727,3073
728,3075
729,3076
730,3108
731,3111
732,3127
733,3145
734,3153
735,3164
736,3165
737,3183
738,3186
739,3193
740,3194
741,3195
742,3197
743,3199
744,3202
745,3203
746,3204
747,3212
748,3222
749,3225
750,3231
751,3240
752,3292
753,3297
754,3301
755,3331
756,3337
757,3348
758,3361
759,3366
760,3369
761,3370
762,3390
763,3397
764,3403
765,3407
766,3408
767,3422
768,3427
769,3428
770,3432
771,3457
772,3459
773,3460
774,3464
775,3470
776,3471
777,3475
778,3478
779,3490
780,3491
781,3503
782,3507
783,3509
784,3510
785,3516
786,3525
787,3527
788,3529
789,3530
790,3531
791,3532
792,3533
793,3536
794,3539
795,3541
796,3543
797,3547
798,3550
799,3563
800,3572
801,3573
802,3575
803,3583
804,3584
805,3591
806,3592
807,3600
808,3601
809,3606
810,3607
811,3608
812,3611
813,3614
814,3616
815,3619
816,3620
817,3621
818,3622
819,3625
820,3626
821,3627
822,3630
823,3631
824,3635
825,3641
826,3642
827,3644
828,3646
829,3647
830,3652
831,3654
832,3658
833,3660
834,3662
835,3663
836,3664
837,3667
838,3668
839,3673
840,3674
841,3677
842,3678
843,3679
844,3680
845,3687
846,3691
847,3693
848,3695
849,3698
850,3701
851,3702
852,3703
853,3704
854,3705
855,3706
856,3708
857,3712
858,3719
859,3726
860,3736
861,3740
862,3744
863,3746
864,3751
865,3759
866,3760
867,3763
868,3768
869,3769
870,3772
871,3774
872,3775
873,3776
874,3777
875,3779
876,3787
877,3788
878,3789
879,3795
880,3797
881,3798
882,3800
883,3803
884,3805
885,3806
886,3814
887,3815
888,3818
889,3819
890,3828
891,3830
892,3836
893,3838
894,3839
895,3840
896,3849
897,3853
898,3866
899,3869
900,3874
901,3875
902,3877
903,3878
904,3879
905,3883
906,3885
907,3886
908,3891
909,3892
910,3893
911,3895
912,3896
913,3897
914,3898
915,3901
916,3903
917,3906
918,3912
919,3913
920,3914
921,3917
922,3920
923,3922
