code,1,2,3,4,5,6,7,8,9,10
1,27.0,30.0,14.0,11.0,34.0,42.0,40.0,56.0,81.0,129.0
2,40.0,85.0,84.0,84.0,70.0,72.0,172.0,337.0,485.0,984.0
3,71.0,44.0,70.0,59.0,47.0,334.0,440.0,89.0,58.0,129.0
4,31.0,25.0,30.0,46.0,8.0,3.0,23.0,38.0,48.0,43.0
5,120.0,98.0,66.0,44.0,33.0,57.0,196.0,463.0,274.0,238.0
6,19.0,13.0,8.0,6.0,2.0,6.0,21.0,61.0,43.0,48.0
7,63.0,39.0,48.0,30.0,17.0,25.0,106.0,102.0,82.0,136.0
8,54.0,40.0,19.0,30.0,30.0,34.0,69.0,54.0,58.0,51.0
9,12.0,10.0,8.0,3.0,61.0,43.0,121.0,154.0,145.0,135.0
10,67.0,76.0,80.0,79.0,77.0,78.0,90.0,50.0,86.0,107.0
11,112.0,61.0,52.0,92.0,68.0,45.0,191.0,260.0,292.0,174.0
12,35.0,15.0,34.0,23.0,21.0,40.0,84.0,113.0,99.0,86.0
13,43.0,22.0,41.0,37.0,38.0,49.0,73.0,75.0,75.0,152.0
14,95.0,25.0,36.0,49.0,73.0,94.0,118.0,153.0,144.0,231.0
15,17.0,37.0,6.0,37.0,14.0,17.0,34.0,137.0,216.0,73.0
16,97.0,50.0,84.0,41.0,37.0,40.0,71.0,60.0,61.0,233.0
17,30.0,6.0,4.0,5.0,1.0,15.0,10.0,16.0,37.0,1.0
18,115.0,122.0,121.0,63.0,132.0,94.0,135.0,360.0,451.0,574.0
19,120.0,66.0,51.0,22.0,28.0,34.0,169.0,184.0,137.0,234.0
20,15.0,3.0,5.0,7.0,11.0,22.0,164.0,156.0,100.0,118.0
21,338.0,146.0,179.0,142.0,61.0,115.0,168.0,284.0,291.0,437.0
22,298.0,303.0,321.0,217.0,232.0,144.0,476.0,620.0,609.0,691.0
23,523.0,441.0,378.0,336.0,345.0,382.0,760.0,1000.0,958.0,1128.0
24,620.0,425.0,354.0,326.0,233.0,202.0,483.0,684.0,654.0,713.0
25,146.0,98.0,47.0,33.0,19.0,52.0,130.0,123.0,101.0,106.0
26,190.0,146.0,144.0,128.0,144.0,159.0,205.0,437.0,665.0,975.0
27,49.0,30.0,60.0,32.0,33.0,71.0,137.0,63.0,100.0,109.0
28,35.0,38.0,65.0,34.0,11.0,12.0,36.0,49.0,51.0,35.0
29,25.0,170.0,180.0,111.0,46.0,43.0,51.0,52.0,42.0,73.0
30,95.0,80.0,99.0,61.0,47.0,80.0,241.0,318.0,220.0,314.0
31,110.0,110.0,75.0,66.0,59.0,55.0,137.0,111.0,149.0,147.0
32,23.0,16.0,27.0,24.0,47.0,149.0,281.0,317.0,307.0,422.0
33,173.0,187.0,121.0,107.0,84.0,81.0,172.0,241.0,256.0,256.0
34,144.0,160.0,175.0,148.0,200.0,197.0,295.0,461.0,480.0,742.0
35,177.0,182.0,93.0,98.0,90.0,64.0,211.0,236.0,252.0,307.0
36,391.0,340.0,495.0,221.0,285.0,251.0,305.0,470.0,419.0,484.0
37,232.0,169.0,111.0,105.0,62.0,77.0,93.0,86.0,125.0,228.0
38,330.0,210.0,220.0,222.0,216.0,273.0,942.0,700.0,374.0,555.0
39,40.0,39.0,77.0,76.0,83.0,43.0,36.0,44.0,109.0,123.0
40,46.0,40.0,23.0,28.0,29.0,33.0,98.0,113.0,118.0,139.0
41,2.0,34.0,83.0,29.0,1.0,7.0,4.0,14.0,85.0,90.0
42,51.0,35.0,54.0,52.0,59.0,93.0,155.0,154.0,153.0,159.0
43,36.0,27.0,30.0,24.0,17.0,23.0,40.0,46.0,53.0,64.0
44,52.0,64.0,36.0,45.0,39.0,36.0,90.0,81.0,87.0,92.0
45,43.0,86.0,47.0,41.0,21.0,26.0,47.0,109.0,99.0,80.0
46,65.0,85.0,114.0,127.0,103.0,113.0,156.0,178.0,171.0,152.0
47,162.0,209.0,284.0,227.0,266.0,305.0,333.0,300.0,59.0,97.0
48,111.0,60.0,95.0,121.0,100.0,135.0,236.0,251.0,252.0,368.0
49,23.0,7.0,4.0,2.0,8.0,7.0,39.0,67.0,30.0,25.0
50,850.0,861.0,760.0,366.0,305.0,350.0,676.0,546.0,388.0,560.0
51,167.0,118.0,134.0,74.0,56.0,98.0,239.0,257.0,241.0,240.0
52,455.0,330.0,374.0,326.0,435.0,573.0,826.0,745.0,744.0,1088.0
53,11.0,3.0,8.0,0.0,36.0,22.0,40.0,135.0,70.0,61.0
54,251.0,203.0,181.0,124.0,120.0,179.0,268.0,309.0,318.0,383.0
55,206.0,130.0,94.0,70.0,49.0,66.0,151.0,249.0,242.0,290.0
56,131.0,124.0,124.0,117.0,121.0,116.0,159.0,274.0,394.0,617.0
57,79.0,86.0,61.0,74.0,84.0,80.0,95.0,93.0,72.0,84.0
58,61.0,58.0,90.0,111.0,159.0,232.0,539.0,536.0,531.0,787.0
59,299.0,279.0,216.0,207.0,254.0,264.0,505.0,863.0,744.0,903.0
60,32.0,33.0,75.0,92.0,63.0,59.0,95.0,113.0,92.0,127.0
61,563.0,460.0,462.0,450.0,350.0,240.0,521.0,765.0,790.0,914.0
62,65.0,71.0,68.0,84.0,73.0,78.0,182.0,143.0,167.0,292.0
63,202.0,85.0,187.0,390.0,434.0,320.0,349.0,569.0,624.0,729.0
64,119.0,100.0,171.0,116.0,149.0,233.0,407.0,561.0,638.0,837.0
65,8.0,7.0,6.0,3.0,9.0,14.0,60.0,81.0,85.0,58.0
66,507.0,328.0,348.0,358.0,311.0,404.0,498.0,815.0,1062.0,1143.0
67,121.0,153.0,137.0,125.0,131.0,87.0,200.0,174.0,220.0,185.0
68,82.0,70.0,63.0,62.0,61.0,67.0,86.0,90.0,113.0,199.0
69,60.0,111.0,104.0,153.0,152.0,136.0,146.0,201.0,98.0,196.0
70,45.0,46.0,37.0,42.0,35.0,32.0,33.0,35.0,21.0,28.0
71,249.0,244.0,277.0,294.0,176.0,172.0,225.0,256.0,299.0,427.0
72,42.0,43.0,97.0,74.0,101.0,97.0,297.0,464.0,491.0,395.0
73,151.0,174.0,155.0,199.0,213.0,283.0,281.0,320.0,269.0,439.0
74,238.0,215.0,213.0,202.0,199.0,148.0,353.0,581.0,621.0,832.0
75,83.0,59.0,58.0,37.0,42.0,61.0,200.0,112.0,103.0,174.0
76,125.0,83.0,76.0,49.0,77.0,92.0,141.0,163.0,178.0,169.0
77,2154.0,1560.0,1559.0,1608.0,1741.0,2271.0,3070.0,1741.0,1488.0,2298.0
78,1964.0,1291.0,1158.0,913.0,1098.0,1962.0,2784.0,1271.0,1237.0,1971.0
79,34.0,13.0,6.0,5.0,11.0,8.0,30.0,19.0,62.0,26.0
83,0.0,3.0,1.0,0.0,0.0,3.0,3.0,23.0,11.0,18.0
86,122.0,78.0,34.0,9.0,5.0,11.0,129.0,113.0,36.0,247.0
87,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,7.0,3.0
89,42.0,20.0,8.0,9.0,3.0,12.0,46.0,137.0,71.0,63.0
