prod_norm_name,prod_form_norm_name,code,prod_pack_1_2,prod_pack_1_size,origin,prod_d_norm_name,const
1,МАЗЬ НАЗАЛЬНАЯ,3,1.0,10.0,1.0,0.25 %,1
2,МАЗЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,15.0,1.0,0.025 %,1
6,ТАБЛЕТКИ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ МЕСТНОГО И НАРУЖНОГО ПРИМЕНЕНИЯ,3,2.0,10.0,1.0,20 мг,1
7,РАСТВОР ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,10.0,1.0,5 %,1
8,КАПЛИ ГЛАЗНЫЕ,3,1.0,5.0,1.0,0.5 %,1
8,КАПЛИ ГЛАЗНЫЕ,3,1.0,5.0,2.0,5 мг/мл,1
9,КАПЛИ ГЛАЗНЫЕ,3,1.0,10.0,1.0,20 %,1
10,ТАБЛЕТКИ,3,2.0,10.0,1.0,500 мг,1
25,КАПСУЛЫ,3,5.0,10.0,1.0,300 мг,1
27,ТАБЛЕТКИ,3,1.0,30.0,1.0,10 мг,1
27,ТАБЛЕТКИ,3,3.0,10.0,1.0,10 мг,1
27,ТАБЛЕТКИ,3,3.0,10.0,2.0,10 мг,1
27,ТАБЛЕТКИ,3,3.0,10.0,2.0,5 мг,1
33,РАСТВОР ДЛЯ ИНФУЗИЙ,3,1.0,100.0,2.0,5 мг/мл,1
33,ТАБЛЕТКИ,3,2.0,10.0,1.0,250 мг,1
33,ТАБЛЕТКИ,3,2.0,10.0,2.0,250 мг,1
33,ТАБЛЕТКИ,3,3.0,8.0,1.0,250 мг,1
39,КАПСУЛЫ,3,2.0,15.0,2.0,320 мг,1
48,КАПЛИ ГЛАЗНЫЕ,3,1.0,15.0,2.0,0.05 %,1
53,ТАБЛЕТКИ-ЛИОФИЛИЗАТ,3,1.0,6.0,2.0,2 мг,1
53,ТАБЛЕТКИ-ЛИОФИЛИЗАТ,3,1.0,10.0,2.0,2 мг,1
55,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,12.0,2.0,275 мг,1
55,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,12.0,2.0,275 мг,1
56,ТАБЛЕТКИ,3,1.0,10.0,2.0,НЕ УКАЗАНО,1
57,КАПЛИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,30.0,2.0,100 мг/мл,1
57,КАПЛИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,30.0,2.0,66.66 мг/мл,1
57,КАПСУЛЫ,3,1.0,25.0,2.0,40 мг,1
58,КАПЛИ НАЗАЛЬНЫЕ,3,1.0,10.0,1.0,0.05 %,1
58,КАПЛИ НАЗАЛЬНЫЕ,3,1.0,10.0,2.0,0.1 %,1
58,СПРЕЙ НАЗАЛЬНЫЙ,3,1.0,15.0,1.0,"0,05 %",1
58,СПРЕЙ НАЗАЛЬНЫЙ ДОЗИРОВАННЫЙ,3,1.0,10.0,2.0,0.05 %,1
58,СПРЕЙ НАЗАЛЬНЫЙ ДОЗИРОВАННЫЙ,3,1.0,10.0,2.0,140 мкг/доза,1
58,СПРЕЙ НАЗАЛЬНЫЙ ДОЗИРОВАННЫЙ,3,1.0,15.0,2.0,45 мкг/доза,1
58,СПРЕЙ НАЗАЛЬНЫЙ ДОЗИРОВАННЫЙ,3,1.0,20.0,2.0,0.05 %,1
67,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ПРИЕМА ВНУТРЬ,3,4.0,73.69,2.0,64 г,1
72,ТАБЛЕТКИ,3,2.0,15.0,2.0,200 мг,1
75,ГРАНУЛЫ С ПРОЛОНГИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ,3,30.0,0.25,2.0,250 мг,1
75,ТАБЛЕТКИ ПРОЛОНГИРОВАННОГО ДЕЙСТВИЯ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,30.0,2.0,500 мг,1
77,КАПСУЛЫ,3,2.0,8.0,2.0,200 мг,1
77,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,90.0,2.0,200 мг/5 мл,1
78,КАПЛИ ГЛАЗНЫЕ,3,1.0,5.0,2.0,0.5 %,1
82,КАПЛИ ГЛАЗНЫЕ,3,1.0,5.0,2.0,0.5 %,1
82,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,10.0,2.0,500 мг,1
86,КАПСУЛЫ,3,9.0,10.0,2.0,300 мг,1
89,ТАБЛЕТКИ,3,5.0,10.0,1.0,40 мг,1
95,ТАБЛЕТКИ,3,2.0,25.0,1.0,40 мг,1
96,ТАБЛЕТКИ ПОКРЫТЫЕ КИШЕЧНОРАСТВОРИМОЙ ОБОЛОЧКОЙ,3,6.0,10.0,1.0,100 мг,1
103,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ВНУТРИВЕННОГО И ВНУТРИМЫШЕЧНОГО ВВЕДЕНИЯ,3,1.0,1.0,1.0,1 г,1
104,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,170.0,2.0,НЕ УКАЗАНО,1
113,СУППОЗИТОРИИ РЕКТАЛЬНЫЕ,3,2.0,5.0,1.0,10 мг,1
