code,1,2,3,4,5,6,7,8,9,10
1,1932.0,700.0,310.0,315.0,242.0,343.0,1245.0,1723.0,1518.0,1862.0
2,5013.0,4169.0,3639.0,2912.0,2727.0,3060.0,6741.0,8541.0,9526.0,18834.0
3,4508.0,3064.0,2271.0,1092.0,1326.0,5669.0,7796.0,3750.0,2452.0,4015.0
4,1526.0,745.0,434.0,134.0,249.0,723.0,1583.0,1172.0,861.0,1353.0
5,4321.0,1742.0,1229.0,1233.0,1238.0,2171.0,5729.0,5839.0,3940.0,4020.0
6,1730.0,743.0,363.0,304.0,331.0,394.0,1432.0,1953.0,1802.0,2083.0
7,2849.0,2127.0,1733.0,924.0,542.0,577.0,2048.0,2632.0,2074.0,3149.0
8,2545.0,1507.0,913.0,429.0,397.0,798.0,3124.0,3156.0,2264.0,1796.0
9,2355.0,1414.0,592.0,367.0,368.0,436.0,1468.0,1586.0,1375.0,2000.0
10,7995.0,4693.0,2931.0,1775.0,1498.0,2663.0,5663.0,4969.0,4522.0,8660.0
11,5777.0,2919.0,2101.0,1576.0,850.0,2476.0,8287.0,7915.0,6529.0,8597.0
12,1429.0,1081.0,722.0,498.0,452.0,765.0,1726.0,1827.0,1674.0,2755.0
13,2464.0,1718.0,1170.0,979.0,865.0,999.0,1826.0,2102.0,2026.0,3553.0
14,4064.0,1823.0,976.0,1610.0,3160.0,2755.0,3148.0,4321.0,4927.0,7776.0
15,2348.0,1195.0,606.0,368.0,271.0,310.0,1414.0,2054.0,2001.0,2514.0
16,2671.0,1845.0,1391.0,1000.0,993.0,922.0,1457.0,1483.0,1549.0,3648.0
17,612.0,235.0,105.0,50.0,146.0,621.0,4672.0,3340.0,1733.0,1905.0
18,5685.0,2553.0,2376.0,1967.0,1346.0,1493.0,4145.0,6288.0,6627.0,10285.0
19,2711.0,844.0,532.0,490.0,771.0,1852.0,5125.0,4895.0,3332.0,4830.0
20,2006.0,482.0,347.0,324.0,288.0,502.0,3114.0,4383.0,2017.0,2621.0
21,2979.0,1845.0,1340.0,1374.0,1516.0,1473.0,1937.0,2324.0,2199.0,3767.0
22,5880.0,4349.0,3471.0,2427.0,1899.0,2713.0,7496.0,8062.0,6999.0,10631.0
23,5759.0,4571.0,3787.0,3015.0,2830.0,3350.0,6987.0,7653.0,6695.0,7391.0
24,9602.0,5828.0,4061.0,3435.0,3049.0,4029.0,13094.0,13604.0,10559.0,14841.0
25,6816.0,3815.0,1911.0,1127.0,813.0,2464.0,7509.0,7467.0,6402.0,7100.0
26,7159.0,4612.0,3054.0,2451.0,1749.0,2312.0,7267.0,10316.0,10262.0,11560.0
27,9104.0,4132.0,1644.0,999.0,852.0,2980.0,9622.0,9420.0,8508.0,9852.0
28,3477.0,1450.0,834.0,393.0,429.0,1337.0,3530.0,4063.0,3468.0,4143.0
29,7544.0,5196.0,2906.0,2170.0,1784.0,3288.0,6574.0,7398.0,7639.0,10667.0
30,5274.0,3660.0,2322.0,2022.0,1404.0,1830.0,7065.0,8615.0,6835.0,6696.0
31,5444.0,3828.0,2741.0,2404.0,1942.0,1977.0,3685.0,4362.0,4657.0,8376.0
32,5735.0,3644.0,2653.0,2435.0,2040.0,4125.0,9300.0,6214.0,4788.0,10552.0
33,4755.0,3776.0,2436.0,1893.0,1539.0,2590.0,6836.0,5782.0,4833.0,8367.0
34,7653.0,5784.0,4065.0,3157.0,2802.0,2942.0,8255.0,10154.0,10000.0,11571.0
35,9078.0,6134.0,3299.0,2031.0,1227.0,1853.0,6601.0,6802.0,6725.0,9288.0
36,11630.0,9275.0,6995.0,5212.0,4238.0,5428.0,13179.0,14058.0,14291.0,20339.0
37,5325.0,3616.0,1928.0,1795.0,1807.0,1877.0,3094.0,3704.0,3606.0,6232.0
38,7885.0,6732.0,5690.0,4451.0,3542.0,4079.0,11121.0,11940.0,10895.0,12304.0
39,6065.0,3951.0,1930.0,1525.0,1665.0,2752.0,6540.0,5465.0,5909.0,9565.0
40,4763.0,3681.0,2424.0,1656.0,1559.0,1667.0,3674.0,3702.0,3098.0,4636.0
41,2109.0,1175.0,572.0,318.0,227.0,577.0,1452.0,1567.0,1269.0,1242.0
42,3457.0,2208.0,1535.0,1790.0,1811.0,2923.0,5753.0,5626.0,4839.0,6446.0
43,6520.0,3939.0,3134.0,2232.0,1787.0,2789.0,3418.0,3616.0,3419.0,6009.0
44,1917.0,1319.0,1219.0,894.0,906.0,1644.0,3869.0,3721.0,2562.0,4833.0
45,3133.0,2310.0,1511.0,1103.0,972.0,1011.0,3294.0,3881.0,3472.0,5216.0
46,5303.0,4259.0,3168.0,2330.0,1938.0,2217.0,5588.0,5605.0,5206.0,8353.0
47,6645.0,5081.0,3715.0,2617.0,2577.0,3443.0,7135.0,6767.0,5881.0,8961.0
48,4741.0,3583.0,2834.0,2148.0,1767.0,1782.0,6115.0,6900.0,5951.0,9354.0
49,805.0,266.0,113.0,79.0,124.0,230.0,784.0,818.0,653.0,680.0
50,35844.0,20151.0,17671.0,17060.0,20679.0,42209.0,68413.0,35388.0,26331.0,67999.0
51,6797.0,3442.0,2222.0,1192.0,995.0,2631.0,7672.0,6041.0,4180.0,6316.0
52,14115.0,11665.0,10497.0,6225.0,3976.0,6590.0,15337.0,14959.0,13209.0,20992.0
53,5525.0,2960.0,1457.0,1182.0,1051.0,1187.0,4208.0,3828.0,3733.0,5899.0
54,4214.0,3364.0,2914.0,2253.0,2163.0,3403.0,5722.0,5582.0,4870.0,7253.0
55,6879.0,3520.0,2732.0,1874.0,1713.0,3229.0,10198.0,11651.0,10803.0,12300.0
56,5163.0,3345.0,2339.0,2242.0,1860.0,3054.0,8666.0,10521.0,9888.0,11660.0
57,5177.0,3388.0,2071.0,1632.0,1485.0,1690.0,2685.0,2961.0,2808.0,6958.0
58,6467.0,5371.0,3560.0,2786.0,2276.0,2442.0,6286.0,7092.0,6825.0,9348.0
59,8845.0,6756.0,4218.0,3084.0,2917.0,3738.0,11498.0,14241.0,13319.0,17733.0
60,5730.0,2409.0,2270.0,1848.0,1523.0,1810.0,3905.0,3136.0,3282.0,7311.0
61,11652.0,8962.0,7521.0,6884.0,6001.0,4950.0,10086.0,14356.0,13737.0,16959.0
62,3606.0,2471.0,1773.0,1439.0,1412.0,1736.0,4020.0,3619.0,3289.0,5511.0
